Date,Open,High,Low,Close,Volume
2-Aug-17,318.94,327.12,311.22,325.89,13091462
1-Aug-17,323.00,324.45,316.13,319.57,8303102
31-Jul-17,335.50,341.49,321.04,323.47,8535136
28-Jul-17,336.89,339.60,332.51,335.07,4880414
27-Jul-17,346.00,347.50,326.29,334.46,8302405
26-Jul-17,340.36,345.50,338.12,343.85,4820790
25-Jul-17,345.00,345.60,334.15,339.60,6989197
24-Jul-17,330.24,343.40,330.01,342.52,8637082
21-Jul-17,329.46,331.26,325.80,328.40,4901606
20-Jul-17,326.90,330.22,324.20,329.92,5166188
19-Jul-17,328.23,331.65,323.22,325.26,6357014
18-Jul-17,317.50,329.13,315.66,328.24,6373720
17-Jul-17,325.54,327.10,313.45,319.57,9876912
14-Jul-17,323.19,328.42,321.22,327.78,5625211
13-Jul-17,330.11,331.60,319.97,323.41,8594466
12-Jul-17,330.40,333.10,324.50,329.52,10346127
11-Jul-17,316.00,327.28,314.30,327.22,11559402
10-Jul-17,312.90,317.94,303.13,316.05,13820889
7-Jul-17,313.50,317.00,307.38,313.22,14176915
6-Jul-17,317.26,320.79,306.30,308.83,19324495
5-Jul-17,347.20,347.24,326.33,327.09,17046701
3-Jul-17,370.24,371.35,351.50,352.62,6305401
30-Jun-17,363.71,366.77,359.62,361.61,5848521
29-Jun-17,370.61,371.00,354.10,360.75,8221038
28-Jun-17,366.68,371.74,362.52,371.24,6302463
27-Jun-17,376.40,376.40,362.02,362.37,6996399
26-Jun-17,386.69,386.95,373.10,377.49,6604099
23-Jun-17,382.45,386.99,379.34,383.45,6445758
22-Jun-17,377.99,385.00,373.57,382.61,7529778
21-Jun-17,374.35,376.99,368.02,376.40,4923210
20-Jun-17,376.67,378.88,369.73,372.24,7438701
19-Jun-17,375.00,376.70,367.80,369.80,6549332
16-Jun-17,377.98,378.01,370.10,371.40,6730973
15-Jun-17,372.50,375.46,366.49,375.34,10426469
14-Jun-17,381.08,384.25,376.31,380.66,12818429
13-Jun-17,367.62,376.00,366.61,375.95,11807920
12-Jun-17,357.99,364.50,350.62,359.01,10517660
9-Jun-17,374.42,376.87,354.80,357.32,17261435
8-Jun-17,363.75,371.90,360.22,370.00,9061496
7-Jun-17,356.34,360.50,355.14,359.65,9397959
6-Jun-17,344.70,359.49,339.97,352.85,11086798
5-Jun-17,338.50,348.44,334.21,347.32,6784368
2-Jun-17,339.77,342.88,335.93,339.85,5590239
1-Jun-17,344.00,344.88,337.29,340.37,7607996
31-May-17,337.69,342.89,335.16,341.01,9963444
30-May-17,326.00,336.28,325.76,335.10,7782916
26-May-17,317.28,325.49,316.31,325.14,7802199
25-May-17,311.02,316.97,307.81,316.83,5013963
24-May-17,306.51,311.00,305.40,310.22,5041692
23-May-17,310.46,310.73,303.48,303.86,4318354
22-May-17,312.80,314.37,306.80,310.35,4329178
19-May-17,315.50,316.50,310.20,310.83,4687572
18-May-17,307.00,313.94,305.31,313.06,5653801
17-May-17,314.39,314.63,305.50,306.11,6711940
16-May-17,317.59,320.06,315.14,317.01,4152484
